sale_id,product_id,customer_id,store_id,quantity,sale_amount
1,1734,1149,37,1,17936
2,877,8849,146,1,4781
3,1732,4713,31,3,14663
4,1832,776,156,9,4914
5,859,9862,65,5,1410
6,1858,6208,159,1,6842
7,137,9852,116,4,5378
8,779,7179,155,7,656
9,1428,8799,40,8,7752
10,628,430,140,9,13915
11,555,9197,91,8,3093
12,743,1613,27,7,13189
13,570,9813,189,4,12655
14,1230,4312,115,6,10912
15,410,4466,110,4,1628
16,1830,9164,81,3,7382
17,1630,2289,153,2,18325
18,1060,9751,94,5,5664
19,230,2369,138,9,12810
20,1251,2093,104,1,4042
21,1719,7754,15,3,3192
22,262,8112,122,3,14585
23,1155,284,147,7,11920
24,1601,8864,68,9,12174
25,892,2135,143,5,11806
26,448,7175,15,3,13734
27,186,1483,97,2,13370
28,1653,6327,179,5,12601
29,1210,2347,13,4,18194
30,1298,6542,59,3,19247
31,1687,14,13,6,13089
32,352,6244,198,4,14120
33,1437,756,57,6,12027
34,1175,8361,182,2,18832
35,384,2280,40,6,11481
36,1060,1135,94,3,10562
37,326,2662,100,3,10068
38,465,4825,31,4,9054
39,466,240,181,4,7188
40,1119,2288,13,3,14477
41,1158,4366,24,1,13436
42,162,2588,93,1,8540
43,556,1310,56,8,5265
44,300,6479,46,2,453
45,1819,443,127,5,4714
46,356,8917,2,7,2302
47,1264,908,54,3,11407
48,564,1527,80,8,682
49,1962,9336,28,2,5262
50,793,8267,90,7,11048
51,1023,2471,96,4,8224
52,586,70,189,4,11934
53,1831,4841,106,4,14935
54,750,6415,196,9,3500
55,1191,8324,133,4,12892
56,140,9314,17,4,1813
57,1163,7596,148,6,18539
58,1905,9383,168,4,4507
59,235,1129,93,5,10675
60,1027,598,82,4,744
61,256,9765,150,2,9961
62,371,5562,53,5,10851
63,278,8864,72,2,5438
64,516,4731,168,5,19148
65,904,5020,175,5,9800
66,1806,6106,46,5,19034
67,1236,3716,112,9,2679
68,1240,3338,186,1,820
69,270,2900,27,5,7575
70,476,6564,2,8,3857
71,1552,2309,52,3,8315
72,928,2464,29,5,13026
73,64,5475,6,5,646
74,1775,3991,148,2,10658
75,460,2749,75,8,363
76,1040,5505,112,3,2728
77,564,7074,146,2,3559
78,1043,9904,103,7,6663
79,1349,8364,22,4,6074
80,908,5944,179,6,11094
81,93,3402,14,8,682
82,773,4102,121,8,308
83,810,7756,6,9,10730
84,1041,1228,21,4,3225
85,1647,2417,64,3,1615
86,840,722,8,4,14132
87,1896,931,18,3,1158
88,488,9271,150,1,19508
89,1118,5289,198,3,5508
90,1034,2476,119,3,1663
91,1748,9728,99,6,7301
92,749,8605,182,4,523
93,1790,839,163,3,4654
94,528,3688,110,8,14155
95,1513,1027,45,9,10541
96,1168,2836,181,4,5858
97,554,6473,54,5,2185
98,515,6377,185,5,6049
99,1943,5796,73,6,11280
100,1494,8252,80,9,11833
101,377,590,48,8,13480
102,1692,3169,42,5,6596
103,1518,2035,23,7,16296
104,1709,5186,182,2,13930
105,484,5151,62,6,8672
106,452,5078,186,1,17169
107,1560,777,173,1,8538
108,787,8340,81,1,10518
109,1099,8239,82,2,5957
110,1064,9460,29,5,7678
111,302,1502,176,2,13863
112,1576,9811,160,6,13411
113,1086,6500,136,1,7183
114,1774,1665,50,9,17308
115,1527,6597,137,8,7775
116,999,6666,122,9,13103
117,1269,6321,46,8,5626
118,18,2023,134,6,13047
119,1676,8402,69,3,9252
120,398,7210,173,7,13421
121,1007,7292,153,7,1416
122,594,9380,95,7,19940
123,189,8031,57,7,8700
124,1644,3054,154,3,173
125,1770,35,84,8,823
126,1804,2044,114,6,12189
127,104,9469,6,1,846
128,1947,4855,96,1,16718
129,1670,2955,59,1,19070
130,1368,8456,60,9,6535
131,1395,9321,11,9,19951
132,33,3292,47,8,19820
133,749,8599,52,8,562
134,374,9422,10,5,1482
135,1872,6780,171,5,11287
136,1202,2112,167,5,18344
137,1036,3017,155,6,8780
138,1887,6958,168,4,15270
139,1977,9064,36,5,13522
140,741,4134,120,8,17068
141,1845,4856,148,3,18385
142,1805,4761,46,2,15491
143,890,4866,69,8,5719
144,456,473,74,9,19153
145,1894,7704,63,6,2100
146,1667,4675,160,6,279
147,249,3833,168,3,12619
148,448,4331,168,5,4170
149,1018,2142,92,5,17812
150,980,2909,157,7,9594
151,1594,6333,22,6,2758
152,1028,4112,66,6,1366
153,1260,1399,35,4,9334
154,173,8556,27,6,14413
155,1346,8936,191,3,5187
156,371,3470,121,9,3216
157,1572,2458,158,7,1582
158,791,6318,29,5,14390
159,749,3685,163,4,7655
160,787,2234,37,7,3993
161,1320,470,154,6,2407
162,840,5500,4,4,19457
163,400,8504,99,3,7769
164,1082,8030,138,9,9225
165,1899,6673,148,2,6447
166,1554,4324,113,5,1092
167,548,989,188,8,7920
168,408,1432,10,1,13555
169,641,6697,30,4,6423
170,1537,214,75,3,14146
171,64,5026,144,8,1656
172,574,7484,135,1,12365
173,1902,9505,118,5,1305
174,420,3221,151,6,17298
175,1867,4628,40,8,13343
176,146,3441,1,2,8713
177,1296,5733,45,1,1800
178,17,2405,7,7,14741
179,1816,8892,126,7,17178
180,98,7598,41,9,18696
181,452,5153,68,9,3776
182,1763,9759,2,4,19747
183,975,7958,17,8,5928
184,898,7018,137,6,14270
